iter	Passed	Remaining
0	1	108
1	1	93
2	2	81
3	3	73
4	3	69
5	4	67
6	4	65
7	5	63
8	6	62
9	6	61
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	55
16	11	54
17	11	53
18	12	52
19	13	52
20	14	54
21	15	55
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	24	45
35	24	44
36	25	43
37	26	42
38	26	41
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	48	17
73	49	17
74	49	16
75	50	16
76	51	15
77	52	14
78	52	14
79	53	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
